,观点,情感倾向,具体观点,评论原文,token数,推理时间
362,综合评价好,正面,塔克不错，好吃！,- 塔克不错，好吃！,1403,5.919908047
363,整体冷/凉,负面,薯条跟塔可都有点凉了,- 薯条跟塔可都有点凉了,1406,5.738898993
364,综合评价差,负面,新品不好吃，幸亏最后上的，本来还开开心心的，等到塔可到手后，整个人都不好了，吃的特别emo,- 新品不好吃，幸亏最后上的，本来还开开心心的，等到塔可到手后，整个人都不好了，吃的特别emo,1439,8.612524033
365,综合评价好,正面,新出的牛蛙塔可好吃~,- 新出的牛蛙塔可好吃~,1405,8.269315004
366,综合评价好,正面,非常好哦，都出牛蛙塔克了,- 非常好哦，都出牛蛙塔克了，好吃,1415,9.543302059
367,味道好,正面,好吃,- 非常好哦，都出牛蛙塔克了，好吃,1415,9.543302059
368,综合评价好,正面,牛蛙青年很好吃！,- 牛蛙青年很好吃！,1405,7.718812943
369,商品漏配,负面,我的塔可少了一个,- 我的塔可少了一个,1400,5.370124102
370,出餐速度快,正面,牛蛙塔可出餐就是凉的,- 牛蛙塔可出餐就是凉的，不是现做的,1415,16.9049778
371,整体冷/凉,负面,牛蛙塔可出餐就是凉的,- 牛蛙塔可出餐就是凉的，不是现做的,1415,16.9049778
372,放置时间久,负面,不是现做的,- 牛蛙塔可出餐就是凉的，不是现做的,1415,16.9049778
373,综合评价好,正面,新出来的塔克也不错,- 全鸡味道不错 香脆多汁 可乐喝着很凉爽 新出来的塔克也不错。口感很好 都吃光了,1448,11.2589519
374,口感好,正面,口感很好,- 全鸡味道不错 香脆多汁 可乐喝着很凉爽 新出来的塔克也不错。口感很好 都吃光了,1448,11.2589519
375,放置时间久,负面,塔可放了很久,- 沙发严重掉皮，没有及时更换。塔可放了很久，外皮都捂软了，一点口感都没有，这次体验极差！,1444,17.74358392
376,口感差,负面,外皮都捂软了，一点口感都没有,- 沙发严重掉皮，没有及时更换。塔可放了很久，外皮都捂软了，一点口感都没有，这次体验极差！,1444,17.74358392
377,综合评价差,负面,这次体验极差！,- 沙发严重掉皮，没有及时更换。塔可放了很久，外皮都捂软了，一点口感都没有，这次体验极差！,1444,17.74358392
378,综合评价好,正面,买的新出的塔可，很好吃,- 买的新出的塔可，很好吃服务也很好,1412,5.340060234
379,牛蛙有骨头,负面,强烈要求牛蛙塔可在明确位置提示内有骨头,- 强烈要求牛蛙塔可在明确位置提示内有骨头,1417,6.786989212
380,综合评价一般,中性,希望小龙虾塔可上市,- 希望小龙虾塔可上市,1406,11.05026197
381,份量小,负面,牛蛙塔可的分量还是太小了一点 几口就吃完了,- 牛蛙塔可的分量还是太小了一点 几口就吃完了希望可以大一点吧……但味道很好,1436,15.28946829
382,味道好,正面,但味道很好,- 牛蛙塔可的分量还是太小了一点 几口就吃完了希望可以大一点吧……但味道很好,1436,15.28946829
383,综合评价好,正面,牛蛙塔克还不错！,- 牛蛙塔克还不错！,1404,5.102541924
384,牛蛙肉质嫩,正面,牛蛙腿真嫩,- 牛蛙腿真嫩,1403,5.164047003
385,食材不新鲜,负面,上的炸鸡块什么的都不新鲜，不是现炸的,- 买的券，上的炸鸡块什么的都不新鲜，不是现炸的。追加了一个龙虾塔可，倒是现炸的，可惜油太大了。不满意，吃的整一个不适，以后都不会吃肯德基了,1486,13.27158117
386,综合评价差,负面,不满意，吃的整一个不适，以后都不会吃肯德基了,- 买的券，上的炸鸡块什么的都不新鲜，不是现炸的。追加了一个龙虾塔可，倒是现炸的，可惜油太大了。不满意，吃的整一个不适，以后都不会吃肯德基了,1486,13.27158117
387,综合评价差,负面,塔可和鸡腿鸡翅都是巨拆,- 塔可和鸡腿鸡翅都是巨拆,1414,6.618588924
388,牛蛙肉质嫩,正面,牛蛙腿很嫩,- 牛蛙腿很嫩很好吃,1409,17.11256337
389,牛蛙味道好,正面,牛蛙腿很好吃,- 牛蛙腿很嫩很好吃,1409,17.11256337
390,综合评价好,正面,新品牛蛙很好吃！,- 新品牛蛙很好吃！,1404,6.883213043
391,牛蛙肉量少,负面,牛娃塔可居然只有一只腿,- 牛娃塔可居然只有一只腿,1409,7.209381819
392,综合评价好,正面,牛蛙塔克很好吃,- 牛蛙塔克很好吃，服务员和蔼可亲,1415,5.705047131
393,味道好,正面,味道可以,- 超级塔可没有吃到一颗小龙虾 味道可以 牛蛙小塔可味道不大行 其他挺好,1436,14.41639972
394,牛蛙味道差,负面,牛蛙小塔可味道不大行,- 超级塔可没有吃到一颗小龙虾 味道可以 牛蛙小塔可味道不大行 其他挺好,1436,14.41639972
395,综合评价好,正面,其他挺好,- 超级塔可没有吃到一颗小龙虾 味道可以 牛蛙小塔可味道不大行 其他挺好,1436,14.41639972
396,综合评价好,正面,牛蛙take很好吃哦~~~点赞,- 牛蛙take很好吃哦~~~点赞,1409,4.772106886
397,综合评价好,正面,牛蛙塔克很好吃,- 牛蛙塔克很好吃，希望后边出牛蛙的超级塔克,1426,6.380071878
398,综合评价好,正面,新品牛蛙很好吃,- 新品牛蛙很好吃，肉质很嫩,1413,13.60554504
399,牛蛙肉质嫩,正面,肉质很嫩,- 新品牛蛙很好吃，肉质很嫩,1413,13.60554504
400,综合评价好,正面,塔可和薯条很好吃,- 塔可和薯条很好吃，鸡肉很嫩、薯条也是刚炸好的，很脆,1436,21.63622594
401,鸡排口感软,正面,鸡肉很嫩,- 塔可和薯条很好吃，鸡肉很嫩、薯条也是刚炸好的，很脆,1436,21.63622594
402,整体热/温,正面,薯条也是刚炸好的,- 塔可和薯条很好吃，鸡肉很嫩、薯条也是刚炸好的，很脆,1436,21.63622594
403,鸡排酥脆度好,正面,很脆,- 塔可和薯条很好吃，鸡肉很嫩、薯条也是刚炸好的，很脆,1436,21.63622594
404,综合评价差,负面,塔可太小 还没有女孩的手掌心大 有点诈骗的感觉 失望,- 塔可太小 还没有女孩的手掌心大 有点诈骗的感觉 失望,1426,15.20264006
405,份量小,负面,塔可太小 还没有女孩的手掌心大,- 塔可太小 还没有女孩的手掌心大 有点诈骗的感觉 失望,1426,15.20264006
406,出餐速度慢,负面,新品牛蛙取餐有点慢,- 新品牛蛙取餐有点慢,1407,6.765357971
407,牛蛙味道好,正面,牛蛙好吃,- 牛蛙好吃，,1399,5.678877115
408,综合评价一般,中性,牛蛙塔克没我想象中的好吃,- 牛蛙塔克没我想象中的好吃,1410,5.616902828
409,商品错配,负面,牛蛙小食拼盘撒粉没有全部都撒 只撒了牛蛙一个,- 牛蛙小食拼盘撒粉没有全部都撒 只撒了牛蛙一个  后来店员沟通了得到解决,1438,12.16715884
410,综合评价好,正面,后来店员沟通了得到解决,- 牛蛙小食拼盘撒粉没有全部都撒 只撒了牛蛙一个  后来店员沟通了得到解决,1438,12.16715884
411,综合评价好,正面,牛蛙塔可si青年太好吃了吧。减肥的我吃完一个又吃一个，我的天。减肥路上的绊脚石。出品太太太好吃了,- 前台可爱的小姐姐笑容很治愈，对顾客提出的要求快速响应，感知非常好。特别满意！牛蛙塔可si青年太好吃了吧。减肥的我吃完一个又吃一个，我的天。减肥路上的绊脚石。出品太太太好吃了,1507,12.41861296
412,牛蛙肉量多,正面,牛蛙腿好大一个！,- 牛蛙腿好大一个！,1403,5.752610683
413,份量小,负面,这个牛蛙塔克属实有点小,- 这个牛蛙塔克属实有点小，而且味道不咋地，一拿出来那个粉使劲,1435,19.83802581
414,味道差,负面,而且味道不咋地,- 这个牛蛙塔克属实有点小，而且味道不咋地，一拿出来那个粉使劲,1435,19.83802581
415,包装不方便,负面,一拿出来那个粉使劲,- 这个牛蛙塔克属实有点小，而且味道不咋地，一拿出来那个粉使劲,1435,19.83802581
416,综合评价差,负面,越来越不好吃了,- 越来越不好吃了，香辣鸡腿堡，塔可，鸡米花吃着都是绵的，没有脆香感,1443,15.77431607
417,口感差,负面,香辣鸡腿堡，塔可，鸡米花吃着都是绵的，没有脆香感,- 越来越不好吃了，香辣鸡腿堡，塔可，鸡米花吃着都是绵的，没有脆香感,1443,15.77431607
418,味道好,正面,塔可好吃,- 塔可好吃,1398,4.041445017
419,综合评价好,正面,非常好,- 非常好，牛蛙的挺好吃,1408,11.03363204
420,牛蛙味道好,正面,牛蛙的挺好吃,- 非常好，牛蛙的挺好吃,1408,11.03363204
421,酱料太少,负面,牛蛙塔克酱太少,- 牛蛙塔克酱太少,1406,5.677990198
422,综合评价差,负面,牛蛙真的不好吃,- 牛蛙真的不好吃，软趴趴的，还有股子中药味儿,1423,19.25785613
423,牛蛙肉质软,负面,软趴趴的,- 牛蛙真的不好吃，软趴趴的，还有股子中药味儿,1423,19.25785613
424,牛蛙味道腥,负面,还有股子中药味儿,- 牛蛙真的不好吃，软趴趴的，还有股子中药味儿,1423,19.25785613
425,整体冷/凉,负面,塔可是冷的，换了一个还是冷的,- 塔可是冷的，换了一个还是冷的,1408,7.069415092
426,综合评价差,负面,塔可和图差距太大了，小龙虾又少又小；塔可外层的炸肉炸的太干了，比较柴；不好吃,- 塔可和图差距太大了，小龙虾又少又小；塔可外层的炸肉炸的太干了，比较柴；不好吃,1450,22.78716922
427,份量小,负面,小龙虾又少又小,- 塔可和图差距太大了，小龙虾又少又小；塔可外层的炸肉炸的太干了，比较柴；不好吃,1450,22.78716922
428,炸得干/硬/焦,负面,塔可外层的炸肉炸的太干了，比较柴,- 塔可和图差距太大了，小龙虾又少又小；塔可外层的炸肉炸的太干了，比较柴；不好吃,1450,22.78716922
429,味道差,负面,不好吃,- 塔可和图差距太大了，小龙虾又少又小；塔可外层的炸肉炸的太干了，比较柴；不好吃,1450,22.78716922
430,综合评价差,负面,塔可和图差距太大了，小龙虾又少又小；塔可外层的炸肉炸的太干了，比较柴；不好吃,- 塔可和图差距太大了，小龙虾又少又小；塔可外层的炸肉炸的太干了，比较柴；不好吃,1450,21.69317985
431,份量小,负面,小龙虾又少又小,- 塔可和图差距太大了，小龙虾又少又小；塔可外层的炸肉炸的太干了，比较柴；不好吃,1450,21.69317985
432,炸得干/硬/焦,负面,塔可外层的炸肉炸的太干了，比较柴,- 塔可和图差距太大了，小龙虾又少又小；塔可外层的炸肉炸的太干了，比较柴；不好吃,1450,21.69317985
433,味道差,负面,不好吃,- 塔可和图差距太大了，小龙虾又少又小；塔可外层的炸肉炸的太干了，比较柴；不好吃,1450,21.69317985
434,牛蛙味道好,正面,塔可里的牛蛙还行,- 塔可里的牛蛙还行，但是小食拼盘里的牛蛙太难吃了，是我怀疑有没有熟的程度，肉很难离开骨头，而且一口咬下去，里面还有很多湿的面粉糊糊，没炸透吗，太可怕了,1505,29.59737396
435,牛蛙新鲜度差,负面,小食拼盘里的牛蛙太难吃了，是我怀疑有没有熟的程度,- 塔可里的牛蛙还行，但是小食拼盘里的牛蛙太难吃了，是我怀疑有没有熟的程度，肉很难离开骨头，而且一口咬下去，里面还有很多湿的面粉糊糊，没炸透吗，太可怕了,1505,29.59737396
436,牛蛙有骨头,负面,肉很难离开骨头,- 塔可里的牛蛙还行，但是小食拼盘里的牛蛙太难吃了，是我怀疑有没有熟的程度，肉很难离开骨头，而且一口咬下去，里面还有很多湿的面粉糊糊，没炸透吗，太可怕了,1505,29.59737396
437,炸得干/硬/焦,负面,而且一口咬下去，里面还有很多湿的面粉糊糊，没炸透吗，太可怕了,- 塔可里的牛蛙还行，但是小食拼盘里的牛蛙太难吃了，是我怀疑有没有熟的程度，肉很难离开骨头，而且一口咬下去，里面还有很多湿的面粉糊糊，没炸透吗，太可怕了,1505,29.59737396
438,牛蛙味道好,正面,塔可里的牛蛙还行,- 塔可里的牛蛙还行，但是小食拼盘里的牛蛙太难吃了，是我怀疑有没有熟的程度，肉很难离开骨头，而且一口咬下去，里面还有很多湿的面粉糊糊，没炸透吗，太可怕了,1505,25.96149206
439,牛蛙新鲜度差,负面,小食拼盘里的牛蛙太难吃了，是我怀疑有没有熟的程度,- 塔可里的牛蛙还行，但是小食拼盘里的牛蛙太难吃了，是我怀疑有没有熟的程度，肉很难离开骨头，而且一口咬下去，里面还有很多湿的面粉糊糊，没炸透吗，太可怕了,1505,25.96149206
440,牛蛙有骨头,负面,肉很难离开骨头,- 塔可里的牛蛙还行，但是小食拼盘里的牛蛙太难吃了，是我怀疑有没有熟的程度，肉很难离开骨头，而且一口咬下去，里面还有很多湿的面粉糊糊，没炸透吗，太可怕了,1505,25.96149206
441,炸得干/硬/焦,负面,一口咬下去，里面还有很多湿的面粉糊糊，没炸透吗,- 塔可里的牛蛙还行，但是小食拼盘里的牛蛙太难吃了，是我怀疑有没有熟的程度，肉很难离开骨头，而且一口咬下去，里面还有很多湿的面粉糊糊，没炸透吗，太可怕了,1505,25.96149206
442,牛蛙肉质嫩,正面,牛蛙好嫩,- 牛蛙好嫩，好好吃,1405,8.755785942
443,味道好,正面,好好吃,- 牛蛙好嫩，好好吃,1405,8.755785942
444,综合评价差,负面,这牛蛙真的太难吃,- 这牛蛙真的太难吃 外面鸡排味道一言难尽 感觉放了很久,1433,14.65186882
445,味道差,负面,外面鸡排味道一言难尽,- 这牛蛙真的太难吃 外面鸡排味道一言难尽 感觉放了很久,1433,14.65186882
446,放置时间久,负面,感觉放了很久,- 这牛蛙真的太难吃 外面鸡排味道一言难尽 感觉放了很久,1433,14.65186882
447,商品漏配,负面,漏我一个小龙虾超级塔可,- 漏我一个小龙虾超级塔可，线上客服给出的补偿方案也很差。,1425,9.835674763
448,综合评价差,负面,线上客服给出的补偿方案也很差,- 漏我一个小龙虾超级塔可，线上客服给出的补偿方案也很差。,1425,9.835674763
449,牛蛙肉质嫩,正面,牛蛙很嫩,- 牛蛙很嫩，很好,1405,7.893814802
450,综合评价好,正面,很好,- 牛蛙很嫩，很好,1405,7.893814802
451,综合评价好,正面,牛蛙塔可很好吃,- 牛蛙塔可很好吃,1404,5.965056896
452,综合评价一般,中性,新出的烤鸡堡一般般,- 劲脆没有以前好吃了，脆不脆就算了白酱还变得很酸。新出的烤鸡堡一般般，那个炸牛蛙皮是皮蛙是蛙，建议不要老整新活先做好以前的好产品吧,1488,14.77450013
453,牛蛙新鲜度差,负面,那个炸牛蛙皮是皮蛙是蛙,- 劲脆没有以前好吃了，脆不脆就算了白酱还变得很酸。新出的烤鸡堡一般般，那个炸牛蛙皮是皮蛙是蛙，建议不要老整新活先做好以前的好产品吧,1488,14.77450013
454,酱料味道一般,负面,白酱还变得很酸,- 劲脆没有以前好吃了，脆不脆就算了白酱还变得很酸。新出的烤鸡堡一般般，那个炸牛蛙皮是皮蛙是蛙，建议不要老整新活先做好以前的好产品吧,1488,14.77450013
455,商品售罄,负面,塔可只剩下两个于是线上下线了这个餐品,- 怎么说呢我觉得店员很不容易，现在完全不能线下点单说实话有时候很麻烦，塔可只剩下两个于是线上下线了这个餐品可以理解。但是线下也不能直接点单，只能等待重新上线再下单餐品说实话有点浪费大家的时间。希望能有改进方法，可以方便顾客，也可以便于肯德基的工作人员。,1531,14.9671011
456,综合评价差,负面,但是线下也不能直接点单，只能等待重新上线再下单餐品说实话有点浪费大家的时间,- 怎么说呢我觉得店员很不容易，现在完全不能线下点单说实话有时候很麻烦，塔可只剩下两个于是线上下线了这个餐品可以理解。但是线下也不能直接点单，只能等待重新上线再下单餐品说实话有点浪费大家的时间。希望能有改进方法，可以方便顾客，也可以便于肯德基的工作人员。,1531,14.9671011
457,牛蛙味道差,负面,我觉得牛蛙不是很好吃，建议别放了,- 我觉得牛蛙不是很好吃，建议别放了,1414,6.487200975
458,综合评价好,正面,新出的塔克不错,- 新出的塔克不错,1400,4.642512798
459,综合评价好,正面,牛蛙塔可很好吃，爱了爱了,- 牛蛙塔可很好吃，爱了爱了,1411,7.539527178
460,出餐速度慢,负面,一个塔克等了太久,- 出餐太混乱了，一个塔克等了太久,1415,6.815747023
461,综合评价差,负面,又被塔可骗了,- 又被塔可骗了,1402,5.679752111
462,综合评价差,负面,糟糕的一次体验，表示再也不会尝试肯德基新品了,- 点了四个塔克，每个都是鸡肉干到发柴，不符合这个价格应该有的质量，糟糕的一次体验，表示再也不会尝试肯德基新品了！！！,1461,15.09278584
463,鸡排炸得干/硬/焦,负面,每个都是鸡肉干到发柴,- 点了四个塔克，每个都是鸡肉干到发柴，不符合这个价格应该有的质量，糟糕的一次体验，表示再也不会尝试肯德基新品了！！！,1461,15.09278584
464,价格贵,负面,不符合这个价格应该有的质量,- 点了四个塔克，每个都是鸡肉干到发柴，不符合这个价格应该有的质量，糟糕的一次体验，表示再也不会尝试肯德基新品了！！！,1461,15.09278584
465,牛蛙炸得不够,负面,牛蛙塔可青年里头的牛蛙炸的不够酥脆,- 牛蛙塔可青年里头的牛蛙炸的不够酥脆，其中有一份牛蛙肉还不够熟,1442,16.05671811
466,整体不熟,负面,其中有一份牛蛙肉还不够熟,- 牛蛙塔可青年里头的牛蛙炸的不够酥脆，其中有一份牛蛙肉还不够熟,1442,16.05671811
467,牛蛙肉量多,正面,牛蛙塔克的牛蛙真的好大一块,- 牛蛙塔克的牛蛙真的好大一块,1413,5.776213169
468,综合评价好,正面,新品牛蛙真好吃,- 新品牛蛙真好吃,1402,10.53372216
469,牛蛙味道好,正面,新品牛蛙真好吃,- 新品牛蛙真好吃,1402,10.53372216
470,牛蛙肉量多,正面,牛蛙腿好多肉,- 牛蛙腿好多肉,1403,6.095586777
471,份量小,负面,牛蛙塔可青年太太太迷你了吧,- 就是牛蛙塔可青年太太太迷你了吧,1417,8.699328899
472,综合评价差,负面,塔克好次,- 塔克好次～,1399,7.170584917
473,综合评价差,负面,对这个沈阳肯德基中金启城店非常无语且失望,- 作为肯德基的高频次用餐客户对这个沈阳肯德基中金启城店非常无语且失望！第一：奥尔良烤翅和热辣香骨鸡不止一次烤糊、焦、硬，根本不软嫩。第二：进去看人下菜碟推销会员能理解，你先把餐食最好再说。第三：可乐杯是直饮杯客户不是傻子能看明白，就想要个吸管用吸管喝，怎么吸管花你家钱了，推三阻四强调直饮杯。第四：新品塔克不用你做的跟你们宣传图一样，起码你别做得太糊弄太离谱，我附图片你们自己看看。我觉得这个店就是个别现象，我在沈阳肯德基（凯利店）用过餐，无论是服务还是餐食都让我非常满意无可挑剔！！！,1719,32.49204421
474,出餐速度慢,负面,你先把餐食最好再说,- 作为肯德基的高频次用餐客户对这个沈阳肯德基中金启城店非常无语且失望！第一：奥尔良烤翅和热辣香骨鸡不止一次烤糊、焦、硬，根本不软嫩。第二：进去看人下菜碟推销会员能理解，你先把餐食最好再说。第三：可乐杯是直饮杯客户不是傻子能看明白，就想要个吸管用吸管喝，怎么吸管花你家钱了，推三阻四强调直饮杯。第四：新品塔克不用你做的跟你们宣传图一样，起码你别做得太糊弄太离谱，我附图片你们自己看看。我觉得这个店就是个别现象，我在沈阳肯德基（凯利店）用过餐，无论是服务还是餐食都让我非常满意无可挑剔！！！,1719,32.49204421
475,包装不方便,负面,可乐杯是直饮杯客户不是傻子能看明白，就想要个吸管用吸管喝，怎么吸管花你家钱了，推三阻四强调直饮杯,- 作为肯德基的高频次用餐客户对这个沈阳肯德基中金启城店非常无语且失望！第一：奥尔良烤翅和热辣香骨鸡不止一次烤糊、焦、硬，根本不软嫩。第二：进去看人下菜碟推销会员能理解，你先把餐食最好再说。第三：可乐杯是直饮杯客户不是傻子能看明白，就想要个吸管用吸管喝，怎么吸管花你家钱了，推三阻四强调直饮杯。第四：新品塔克不用你做的跟你们宣传图一样，起码你别做得太糊弄太离谱，我附图片你们自己看看。我觉得这个店就是个别现象，我在沈阳肯德基（凯利店）用过餐，无论是服务还是餐食都让我非常满意无可挑剔！！！,1719,32.49204421
476,综合评价差,负面,新品塔克不用你做的跟你们宣传图一样，起码你别做得太糊弄太离谱，我附图片你们自己看看,- 作为肯德基的高频次用餐客户对这个沈阳肯德基中金启城店非常无语且失望！第一：奥尔良烤翅和热辣香骨鸡不止一次烤糊、焦、硬，根本不软嫩。第二：进去看人下菜碟推销会员能理解，你先把餐食最好再说。第三：可乐杯是直饮杯客户不是傻子能看明白，就想要个吸管用吸管喝，怎么吸管花你家钱了，推三阻四强调直饮杯。第四：新品塔克不用你做的跟你们宣传图一样，起码你别做得太糊弄太离谱，我附图片你们自己看看。我觉得这个店就是个别现象，我在沈阳肯德基（凯利店）用过餐，无论是服务还是餐食都让我非常满意无可挑剔！！！,1719,32.49204421
477,综合评价好,正面,塔克非常好吃哦,- 塔克非常好吃哦,1403,10.50092101
478,牛蛙新鲜度差,负面,牛蛙不新鲜了,- 牛蛙不新鲜了，重口味也掩盖不了,1414,14.55667925
479,味道差,负面,重口味也掩盖不了,- 牛蛙不新鲜了，重口味也掩盖不了,1414,14.55667925
480,牛蛙味道差,负面,牛蛙难吃,- 牛蛙难吃，服务很好！,1406,10.09503102
481,综合评价好,正面,服务很好！,- 牛蛙难吃，服务很好！,1406,10.09503102
482,综合评价好,正面,牛蛙塔可好吃,- 牛蛙塔可好吃,1402,5.107260942
483,鸡排口感硬,负面,牛蛙塔可用的鸡排肯定不是现炸的 很硬 咬不动,- 牛蛙塔可用的鸡排肯定不是现炸的 很硬 咬不动 牛蛙没问题,1431,17.12608314
484,牛蛙味道好,正面,牛蛙没问题,- 牛蛙塔可用的鸡排肯定不是现炸的 很硬 咬不动 牛蛙没问题,1431,17.12608314
485,综合评价好,正面,还不错,- 还不错，塔克再大一点就好了,1407,8.477133751
486,份量小,负面,塔克再大一点就好了,- 还不错，塔克再大一点就好了,1407,8.477133751
487,综合评价好,正面,还不错,- 还不错，塔克再大一点就好了,1407,9.231945992
488,份量小,负面,塔克再大一点就好了,- 还不错，塔克再大一点就好了,1407,9.231945992
489,综合评价好,正面,牛蛙塔可太好吃了,- 牛蛙塔可太好吃了,1405,6.464197159
490,份量小,负面,塔可太迷你了，严重不符,- 塔可太迷你了，严重不符,1407,6.068383932
491,综合评价好,正面,很好！,- 很好！食材新鲜！新品taco味道很好吃，就是青年版的小了点,1427,18.03680611
492,食材新鲜,正面,食材新鲜！,- 很好！食材新鲜！新品taco味道很好吃，就是青年版的小了点,1427,18.03680611
493,味道好,正面,新品taco味道很好吃,- 很好！食材新鲜！新品taco味道很好吃，就是青年版的小了点,1427,18.03680611
494,份量小,负面,就是青年版的小了点,- 很好！食材新鲜！新品taco味道很好吃，就是青年版的小了点,1427,18.03680611
495,综合评价好,正面,其他都挺好,- 藤椒汉堡的面包胚是冷的，其他都挺好，牛蛙好吃。,1425,8.687757969
496,牛蛙味道好,正面,牛蛙好吃,- 藤椒汉堡的面包胚是冷的，其他都挺好，牛蛙好吃。,1425,8.687757969
497,牛蛙味道好,正面,牛蛙好吃,- 藤椒汉堡的面包胚是冷的，其他都挺好，牛蛙好吃。,1425,5.572398186
498,商品错配,负面,塔可里没有小龙虾，夹了一个奇怪的东西，不知道是什么？？？,- 塔可里没有小龙虾，夹了一个奇怪的东西，不知道是什么？？？咬了一口味道很怪就吐掉了。,1444,13.11072898
499,味道差,负面,咬了一口味道很怪就吐掉了。,- 塔可里没有小龙虾，夹了一个奇怪的东西，不知道是什么？？？咬了一口味道很怪就吐掉了。,1444,13.11072898
500,综合评价好,正面,好吃，爱吃,- 好吃，爱吃，但是蛙是蛙，鸡肉是鸡肉，没有融合的感觉啦，但是蛙很好吃，好想吃蛙蛙小食盘，就是他说没有了，呜呜呜呜,1479,14.65129018
501,牛蛙味道好,正面,但是蛙很好吃,- 好吃，爱吃，但是蛙是蛙，鸡肉是鸡肉，没有融合的感觉啦，但是蛙很好吃，好想吃蛙蛙小食盘，就是他说没有了，呜呜呜呜,1479,14.65129018
502,商品售罄,负面,就是他说没有了,- 好吃，爱吃，但是蛙是蛙，鸡肉是鸡肉，没有融合的感觉啦，但是蛙很好吃，好想吃蛙蛙小食盘，就是他说没有了，呜呜呜呜,1479,14.65129018
503,综合评价好,正面,塔可青年牛蛙鸡排挺有特色,- 塔可青年牛蛙鸡排挺有特色，就是太辣了。,1420,13.62342286
504,牛蛙味道辣,负面,就是太辣了,- 塔可青年牛蛙鸡排挺有特色，就是太辣了。,1420,13.62342286
505,综合评价好,正面,牛蛙塔可不错,- 牛蛙塔可不错，服务也很好，赞,1410,4.407558918
506,综合评价差,负面,牛蛙塔可报吃（bushi） 已推荐给讨厌的同事,- 牛蛙塔可报吃（bushi） 已推荐给讨厌的同事,1419,8.593361139
507,综合评价好,正面,塔可鲜嫩多汁真滴太好吃啦,- 塔可鲜嫩多汁真滴太好吃啦 下次还来！,1419,5.059083223
508,综合评价好,正面,牛蛙塔可，非常克苏鲁,- 牛蛙塔可，非常克苏鲁，哈哈哈哈哈,1415,4.981699944
509,牛蛙肉量多,正面,牛蛙肉好大啊！惊喜,- 牛蛙肉好大啊！惊喜,1407,6.766722918
510,牛蛙有骨头,负面,还以为牛蛙塔可得牛蛙没骨头，一口下去，差点硌牙,- 还以为牛蛙塔可得牛蛙没骨头，一口下去，差点硌牙…不过味道还不错,1436,8.147868156
511,味道好,正面,不过味道还不错,- 还以为牛蛙塔可得牛蛙没骨头，一口下去，差点硌牙…不过味道还不错,1436,8.147868156
512,综合评价好,正面,肯德基牛蛙塔可真的超级好吃呢,- 肯德基牛蛙塔可真的超级好吃呢 配餐小姐姐真的好温柔 配餐的速度真的超级快 分量超级足 配餐小姐姐态度真的超级温柔 下次我还来吃 耶耶耶,1485,14.30996394
513,出餐速度快,正面,配餐的速度真的超级快,- 肯德基牛蛙塔可真的超级好吃呢 配餐小姐姐真的好温柔 配餐的速度真的超级快 分量超级足 配餐小姐姐态度真的超级温柔 下次我还来吃 耶耶耶,1485,14.30996394
514,份量大,正面,分量超级足,- 肯德基牛蛙塔可真的超级好吃呢 配餐小姐姐真的好温柔 配餐的速度真的超级快 分量超级足 配餐小姐姐态度真的超级温柔 下次我还来吃 耶耶耶,1485,14.30996394
515,鸡排分量少,负面,鸡排有点小,- 鸡排有点小，没有完全包裹住美蛙，与宣传图片上的差异太大，希望改进,1432,14.18991494
516,综合评价差,负面,没有完全包裹住美蛙，与宣传图片上的差异太大，希望改进,- 鸡排有点小，没有完全包裹住美蛙，与宣传图片上的差异太大，希望改进,1432,14.18991494
517,味道好,正面,塔可好吃,- 塔可好吃,1398,4.050816059
518,牛蛙肉量少,负面,牛蛙就只是这么点,- 牛蛙就只是这么点,1402,3.947367907
519,综合评价好,正面,非常好吃牛蛙大喜欢,- 非常好吃牛蛙大喜欢,1408,11.5300951
520,牛蛙味道好,正面,非常好吃牛蛙大喜欢,- 非常好吃牛蛙大喜欢,1408,11.5300951
521,牛蛙肉量多,正面,牛蛙的真大,- 牛蛙的真大，真的真的很好。很优惠,1413,14.39785385
522,综合评价好,正面,真的真的很好,- 牛蛙的真大，真的真的很好。很优惠,1413,14.39785385
523,价格便宜,正面,很优惠,- 牛蛙的真大，真的真的很好。很优惠,1413,14.39785385
524,牛蛙味道腥,负面,牛蛙塔可很腥，吃不惯,- 牛蛙塔可很腥，吃不惯，别的都很好,1417,9.712544203
525,综合评价好,正面,别的都很好,- 牛蛙塔可很腥，吃不惯，别的都很好,1417,9.712544203
526,份量小,负面,越做越小了。以前吃过小龙虾塔可，感觉有现在的两倍大都不止,- 越做越小了。以前吃过小龙虾塔可，感觉有现在的两倍大都不止,1428,7.31132102
527,牛蛙肉质嫩,正面,牛蛙非常嫩,- 牛蛙非常嫩！好吃！,1406,9.125474215
528,味道好,正面,好吃,- 牛蛙非常嫩！好吃！,1406,9.125474215
529,综合评价好,正面,塔克好吃,- 塔克好吃,1399,5.422347069
530,牛蛙味道腥,负面,蛙还是有些腥味,- 蛙还是有些腥味，之后的处理希望尽可能避免出现这类情况,1426,7.41634202
531,牛蛙味道腥,负面,蛙还是有些腥味,- 蛙还是有些腥味，之后的处理希望尽可能避免出现这类情况,1426,8.964252949
532,酱料味道一般,负面,牛蛙的酱真的不好吃,- 牛蛙的酱真的不好吃,1406,5.471904039
